UpgradeID,Name,Rarity,PhaseBias,Category,GrantType,RefID,Weight,MinLv,MaxLv,NeedTags,NeedUpgrade,StarterBias,Pool,Description,LocKey,Version
UPG_SK_100,技能强化：Gold模组 06,Uncommon,Mid,Skill,GrantSkill,SK_GOLD_06,85,1,999,TAG_Gold,UPG_SK_099,N,All,获得技能：Gold模组 06（经济/赏金向强化条目，等级6。）,LOC_UPG_SK_100,Release
UPG_SK_101,技能强化：Gold模组 07,Rare,Mid,Skill,GrantSkill,SK_GOLD_07,84,1,999,TAG_Gold,UPG_SK_100,N,All,获得技能：Gold模组 07（经济/赏金向强化条目，等级7。）,LOC_UPG_SK_101,Release
UPG_SK_102,技能强化：Gold模组 08,Rare,Mid,Skill,GrantSkill,SK_GOLD_08,100,1,999,TAG_Gold,UPG_SK_101,N,All,获得技能：Gold模组 08（经济/赏金向强化条目，等级8。）,LOC_UPG_SK_102,Release
UPG_SK_103,技能强化：Gold模组 09,Rare,Mid,Skill,GrantSkill,SK_GOLD_09,99,1,999,TAG_Gold,UPG_SK_102,N,All,获得技能：Gold模组 09（经济/赏金向强化条目，等级9。）,LOC_UPG_SK_103,Release
UPG_SK_104,技能强化：Gold模组 10,Epic,Mid,Skill,GrantSkill,SK_GOLD_10,98,1,999,TAG_Gold,UPG_SK_103,N,All,获得技能：Gold模组 10（经济/赏金向强化条目，等级10。）,LOC_UPG_SK_104,Release
UPG_SK_105,技能强化：Gold模组 11,Epic,Mid,Skill,GrantSkill,SK_GOLD_11,97,1,999,TAG_Gold,UPG_SK_104,N,All,获得技能：Gold模组 11（经济/赏金向强化条目，等级11。）,LOC_UPG_SK_105,Release
UPG_SK_106,技能强化：Gold模组 12,Epic,Mid,Skill,GrantSkill,SK_GOLD_12,96,1,999,TAG_Gold,UPG_SK_105,N,All,获得技能：Gold模组 12（经济/赏金向强化条目，等级12。）,LOC_UPG_SK_106,Release
UPG_SK_107,技能强化：Execute模组 01,Common,Mid,Skill,GrantSkill,SK_EXEC_01,95,1,999,TAG_Execute,UPG_SK_106,N,All,获得技能：Execute模组 01（处决向强化条目，等级1。）,LOC_UPG_SK_107,Release
UPG_SK_108,技能强化：Execute模组 02,Common,Mid,Skill,GrantSkill,SK_EXEC_02,94,1,999,TAG_Execute,UPG_SK_107,N,All,获得技能：Execute模组 02（处决向强化条目，等级2。）,LOC_UPG_SK_108,Release
UPG_SK_109,技能强化：Execute模组 03,Common,Mid,Skill,GrantSkill,SK_EXEC_03,93,1,999,TAG_Execute,UPG_SK_108,N,All,获得技能：Execute模组 03（处决向强化条目，等级3。）,LOC_UPG_SK_109,Release
UPG_SK_110,技能强化：Execute模组 04,Uncommon,Late,Skill,GrantSkill,SK_EXEC_04,92,1,999,TAG_Execute,UPG_SK_109,N,All,获得技能：Execute模组 04（处决向强化条目，等级4。）,LOC_UPG_SK_110,Release
UPG_SK_111,技能强化：Execute模组 05,Uncommon,Late,Skill,GrantSkill,SK_EXEC_05,91,1,999,TAG_Execute,UPG_SK_110,N,All,获得技能：Execute模组 05（处决向强化条目，等级5。）,LOC_UPG_SK_111,Release
UPG_SK_112,技能强化：Execute模组 06,Uncommon,Late,Skill,GrantSkill,SK_EXEC_06,90,1,999,TAG_Execute,UPG_SK_111,N,All,获得技能：Execute模组 06（处决向强化条目，等级6。）,LOC_UPG_SK_112,Release
