RelicID,Name,Rarity,Theme,PowerA,PowerB,Description,BossOnly,DesignerNote,Tag
RELIC_DRONE_14,蜂巢核心·14,Common,Automation,0.11,0.06,永久/局内神器配置均可复用,否,无人机数量和频率提升（序号14）,TAG_Automation
RELIC_FROST_15,冷凝心核·15,Common,Frost,0.12,0,永久/局内神器配置均可复用,否,冻结时长与易伤提升（序号15）,TAG_Frost
RELIC_SHIELD_16,守卫徽记·16,Common,Defense,0.08,0.02,永久/局内神器配置均可复用,否,护盾与回复增强（序号16）,TAG_Defense
RELIC_ANVIL_17,回火铁砧·17,Uncommon,Damage,0.09,0.04,永久/局内神器配置均可复用,否,伤害与击退提升（序号17）,TAG_Damage
RELIC_MINT_18,铸币模具·18,Uncommon,Gold,0.1,0.06,永久/局内神器配置均可复用,否,金币收益与暴富模式增强（序号18）,TAG_Gold
RELIC_COIL_19,超导线圈·19,Uncommon,Shock,0.11,0,永久/局内神器配置均可复用,否,感电层数与传播上限提升（序号19）,TAG_Shock
RELIC_BOILER_20,反应锅炉·20,Uncommon,Fire,0.12,0.02,永久/局内神器配置均可复用,否,灼烧持续与爆燃半径提升（序号20）,TAG_Fire
RELIC_JUDGE_21,终审章·21,Uncommon,Execute,0.08,0.04,永久/局内神器配置均可复用,否,处决阈值与处决返还能量（序号21）,TAG_Execute
RELIC_DRONE_22,蜂巢核心·22,Uncommon,Automation,0.09,0.06,永久/局内神器配置均可复用,否,无人机数量和频率提升（序号22）,TAG_Automation
RELIC_FROST_23,冷凝心核·23,Uncommon,Frost,0.1,0,永久/局内神器配置均可复用,否,冻结时长与易伤提升（序号23）,TAG_Frost
RELIC_SHIELD_24,守卫徽记·24,Uncommon,Defense,0.11,0.02,永久/局内神器配置均可复用,否,护盾与回复增强（序号24）,TAG_Defense
RELIC_ANVIL_25,回火铁砧·25,Uncommon,Damage,0.12,0.04,永久/局内神器配置均可复用,否,伤害与击退提升（序号25）,TAG_Damage
RELIC_MINT_26,铸币模具·26,Uncommon,Gold,0.08,0.06,永久/局内神器配置均可复用,否,金币收益与暴富模式增强（序号26）,TAG_Gold
RELIC_COIL_27,超导线圈·27,Uncommon,Shock,0.09,0,永久/局内神器配置均可复用,否,感电层数与传播上限提升（序号27）,TAG_Shock
RELIC_BOILER_28,反应锅炉·28,Uncommon,Fire,0.1,0.02,永久/局内神器配置均可复用,否,灼烧持续与爆燃半径提升（序号28）,TAG_Fire
RELIC_JUDGE_29,终审章·29,Uncommon,Execute,0.11,0.04,永久/局内神器配置均可复用,否,处决阈值与处决返还能量（序号29）,TAG_Execute
RELIC_DRONE_30,蜂巢核心·30,Uncommon,Automation,0.12,0.06,永久/局内神器配置均可复用,否,无人机数量和频率提升（序号30）,TAG_Automation
RELIC_FROST_31,冷凝心核·31,Uncommon,Frost,0.08,0,永久/局内神器配置均可复用,否,冻结时长与易伤提升（序号31）,TAG_Frost
RELIC_SHIELD_32,守卫徽记·32,Uncommon,Defense,0.09,0.02,永久/局内神器配置均可复用,否,护盾与回复增强（序号32）,TAG_Defense
RELIC_ANVIL_33,回火铁砧·33,Rare,Damage,0.1,0.04,永久/局内神器配置均可复用,否,伤害与击退提升（序号33）,TAG_Damage
RELIC_MINT_34,铸币模具·34,Rare,Gold,0.11,0.06,永久/局内神器配置均可复用,否,金币收益与暴富模式增强（序号34）,TAG_Gold
RELIC_COIL_35,超导线圈·35,Rare,Shock,0.12,0,永久/局内神器配置均可复用,否,感电层数与传播上限提升（序号35）,TAG_Shock
RELIC_BOILER_36,反应锅炉·36,Rare,Fire,0.08,0.02,永久/局内神器配置均可复用,否,灼烧持续与爆燃半径提升（序号36）,TAG_Fire
RELIC_JUDGE_37,终审章·37,Rare,Execute,0.09,0.04,永久/局内神器配置均可复用,否,处决阈值与处决返还能量（序号37）,TAG_Execute
RELIC_DRONE_38,蜂巢核心·38,Rare,Automation,0.1,0.06,永久/局内神器配置均可复用,否,无人机数量和频率提升（序号38）,TAG_Automation
RELIC_FROST_39,冷凝心核·39,Rare,Frost,0.11,0,永久/局内神器配置均可复用,否,冻结时长与易伤提升（序号39）,TAG_Frost
RELIC_SHIELD_40,守卫徽记·40,Rare,Defense,0.12,0.02,永久/局内神器配置均可复用,否,护盾与回复增强（序号40）,TAG_Defense
RELIC_ANVIL_41,回火铁砧·41,Rare,Damage,0.08,0.04,永久/局内神器配置均可复用,否,伤害与击退提升（序号41）,TAG_Damage
RELIC_MINT_42,铸币模具·42,Rare,Gold,0.09,0.06,永久/局内神器配置均可复用,否,金币收益与暴富模式增强（序号42）,TAG_Gold
RELIC_COIL_43,超导线圈·43,Rare,Shock,0.1,0,永久/局内神器配置均可复用,否,感电层数与传播上限提升（序号43）,TAG_Shock
RELIC_BOILER_44,反应锅炉·44,Rare,Fire,0.11,0.02,永久/局内神器配置均可复用,否,灼烧持续与爆燃半径提升（序号44）,TAG_Fire
RELIC_JUDGE_45,终审章·45,Rare,Execute,0.12,0.04,永久/局内神器配置均可复用,否,处决阈值与处决返还能量（序号45）,TAG_Execute
RELIC_DRONE_46,蜂巢核心·46,Rare,Automation,0.08,0.06,永久/局内神器配置均可复用,否,无人机数量和频率提升（序号46）,TAG_Automation
RELIC_FROST_47,冷凝心核·47,Rare,Frost,0.09,0,永久/局内神器配置均可复用,否,冻结时长与易伤提升（序号47）,TAG_Frost
RELIC_SHIELD_48,守卫徽记·48,Rare,Defense,0.1,0.02,永久/局内神器配置均可复用,否,护盾与回复增强（序号48）,TAG_Defense
RELIC_ANVIL_49,回火铁砧·49,Epic,Damage,0.11,0.04,永久/局内神器配置均可复用,否,伤害与击退提升（序号49）,TAG_Damage
RELIC_MINT_50,铸币模具·50,Epic,Gold,0.12,0.06,永久/局内神器配置均可复用,否,金币收益与暴富模式增强（序号50）,TAG_Gold
RELIC_COIL_51,超导线圈·51,Epic,Shock,0.08,0,永久/局内神器配置均可复用,否,感电层数与传播上限提升（序号51）,TAG_Shock
RELIC_BOILER_52,反应锅炉·52,Epic,Fire,0.09,0.02,永久/局内神器配置均可复用,否,灼烧持续与爆燃半径提升（序号52）,TAG_Fire
RELIC_JUDGE_53,终审章·53,Epic,Execute,0.1,0.04,永久/局内神器配置均可复用,否,处决阈值与处决返还能量（序号53）,TAG_Execute
RELIC_DRONE_54,蜂巢核心·54,Epic,Automation,0.11,0.06,永久/局内神器配置均可复用,否,无人机数量和频率提升（序号54）,TAG_Automation
RELIC_FROST_55,冷凝心核·55,Epic,Frost,0.12,0,永久/局内神器配置均可复用,否,冻结时长与易伤提升（序号55）,TAG_Frost
RELIC_SHIELD_56,守卫徽记·56,Epic,Defense,0.08,0.02,永久/局内神器配置均可复用,否,护盾与回复增强（序号56）,TAG_Defense
RELIC_ANVIL_57,回火铁砧·57,Epic,Damage,0.09,0.04,永久/局内神器配置均可复用,是,伤害与击退提升（序号57）,TAG_Damage
RELIC_MINT_58,铸币模具·58,Epic,Gold,0.1,0.06,永久/局内神器配置均可复用,是,金币收益与暴富模式增强（序号58）,TAG_Gold
RELIC_COIL_59,超导线圈·59,Epic,Shock,0.11,0,永久/局内神器配置均可复用,是,感电层数与传播上限提升（序号59）,TAG_Shock
RELIC_BOILER_60,反应锅炉·60,Epic,Fire,0.12,0.02,永久/局内神器配置均可复用,是,灼烧持续与爆燃半径提升（序号60）,TAG_Fire
RELIC_JUDGE_61,终审章·61,Epic,Execute,0.08,0.04,永久/局内神器配置均可复用,是,处决阈值与处决返还能量（序号61）,TAG_Execute
RELIC_DRONE_62,蜂巢核心·62,Epic,Automation,0.09,0.06,永久/局内神器配置均可复用,是,无人机数量和频率提升（序号62）,TAG_Automation
RELIC_FROST_63,冷凝心核·63,Epic,Frost,0.1,0,永久/局内神器配置均可复用,是,冻结时长与易伤提升（序号63）,TAG_Frost
RELIC_SHIELD_64,守卫徽记·64,Epic,Defense,0.11,0.02,永久/局内神器配置均可复用,是,护盾与回复增强（序号64）,TAG_Defense
RELIC_ANVIL_65,回火铁砧·65,Legendary,Damage,0.12,0.04,永久/局内神器配置均可复用,是,伤害与击退提升（序号65）,TAG_Damage
RELIC_MINT_66,铸币模具·66,Legendary,Gold,0.08,0.06,永久/局内神器配置均可复用,是,金币收益与暴富模式增强（序号66）,TAG_Gold
RELIC_COIL_67,超导线圈·67,Legendary,Shock,0.09,0,永久/局内神器配置均可复用,是,感电层数与传播上限提升（序号67）,TAG_Shock
RELIC_BOILER_68,反应锅炉·68,Legendary,Fire,0.1,0.02,永久/局内神器配置均可复用,是,灼烧持续与爆燃半径提升（序号68）,TAG_Fire
RELIC_JUDGE_69,终审章·69,Legendary,Execute,0.11,0.04,永久/局内神器配置均可复用,是,处决阈值与处决返还能量（序号69）,TAG_Execute
RELIC_DRONE_70,蜂巢核心·70,Legendary,Automation,0.12,0.06,永久/局内神器配置均可复用,是,无人机数量和频率提升（序号70）,TAG_Automation
RELIC_FROST_71,冷凝心核·71,Legendary,Frost,0.08,0,永久/局内神器配置均可复用,是,冻结时长与易伤提升（序号71）,TAG_Frost
RELIC_SHIELD_72,守卫徽记·72,Legendary,Defense,0.09,0.02,永久/局内神器配置均可复用,是,护盾与回复增强（序号72）,TAG_Defense
RELIC_ANVIL_73,回火铁砧·73,Legendary,Damage,0.1,0.04,永久/局内神器配置均可复用,是,伤害与击退提升（序号73）,TAG_Damage
RELIC_MINT_74,铸币模具·74,Legendary,Gold,0.11,0.06,永久/局内神器配置均可复用,是,金币收益与暴富模式增强（序号74）,TAG_Gold
RELIC_COIL_75,超导线圈·75,Legendary,Shock,0.12,0,永久/局内神器配置均可复用,是,感电层数与传播上限提升（序号75）,TAG_Shock
RELIC_BOILER_76,反应锅炉·76,Legendary,Fire,0.08,0.02,永久/局内神器配置均可复用,是,灼烧持续与爆燃半径提升（序号76）,TAG_Fire
RELIC_JUDGE_77,终审章·77,Legendary,Execute,0.09,0.04,永久/局内神器配置均可复用,是,处决阈值与处决返还能量（序号77）,TAG_Execute
RELIC_DRONE_78,蜂巢核心·78,Legendary,Automation,0.1,0.06,永久/局内神器配置均可复用,是,无人机数量和频率提升（序号78）,TAG_Automation
RELIC_FROST_79,冷凝心核·79,Legendary,Frost,0.11,0,永久/局内神器配置均可复用,是,冻结时长与易伤提升（序号79）,TAG_Frost
RELIC_SHIELD_80,守卫徽记·80,Legendary,Defense,0.12,0.02,永久/局内神器配置均可复用,是,护盾与回复增强（序号80）,TAG_Defense
